index,SMILES,new_SMILES
6167,CC(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(N)=O)C(C)C,CC(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(CCCN=C(N)N)C(N)=O)C(C)C
6168,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@H]2NC(=O)OCc1ccccc1,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NC(=O)OCc1ccccc1
6169,CC(C)c1cc2c(-c3ccc(S(=O)(=O)NC4CCS(=O)(=O)CC4)cc3)ccnc2[nH]1,CC(C)c1cc2c(-c3ccc(S(=O)(=O)NC4CCS(=O)(=O)CC4)cc3)ccnc2[nH]1
6170,COC(=O)NC(C(=O)N[N+](=Cc1ccc(C2=CCSC2)cc1)CCCC1(O)Cc2ccc(cc2)CC=CCNC(=O)C(C(C)C)NC1=O)C(C)(C)C,COC(=O)NC(C(=O)N[N+](=Cc1ccc(C2=CCSC2)cc1)CCCC1(O)Cc2ccc(cc2)CC=CCNC(=O)C(C(C)C)NC1=O)C(C)(C)C
6171,Cc1n[nH]c2c1[C@](c1cc(C#N)cc(-c3ccc(S(=O)(=O)N(C)C)s3)c1)(C(C)C)[C@@H](C#N)C(=N)O2,Cc1n[nH]c2c1C(c1cc(C#N)cc(-c3ccc(S(=O)(=O)N(C)C)s3)c1)(C(C)C)C(C#N)C(=N)O2
6172,CC(C)C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CC(C)CC(NC(CCc1ccccc1)C(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
6173,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12
6174,CN(C)C(=O)c1cccc(-c2cn(C)c(=O)c3[nH]ccc23)c1,CN(C)C(=O)c1cccc(-c2cn(C)c(=O)c3[nH]ccc23)c1
6175,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O,CCC(C)C(NC(=O)C(NC(=O)C1CCCN1C(=O)C(Cc1c[nH]cn1)NC(=O)C(N)CO)C(C)O)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O)C(C)O
6176,CNC(=O)C[C@@H]1[C@H](O)[C@H](O)[C@@H](CO)[N@H+]1CCCc1ccc(F)cc1,CNC(=O)CC1C(O)C(O)C(CO)[NH+]1CCCc1ccc(F)cc1
6177,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CO)[C@@H](C)O)[C@@H](C)CC)C(=O)O,CCC(C)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CO)C(C)O)C(C)CC)C(=O)O
6178,Cc1cn([C@H]2C[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)(O)O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,Cc1cn(C2CC(OP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3OP(=O)(O)O)C(COP(=O)(O)O)O2)c(=O)[nH]c1=O
6179,O=C(N[C@H](Cc1nc2ccc(F)cc2[nH]1)C(=O)O)c1ccc2ccccc2c1,O=C(NC(Cc1nc2ccc(F)cc2[nH]1)C(=O)O)c1ccc2ccccc2c1
6180,COC[C@H]1CN[C@H](C)C[N@@H+]1CC(=O)N1CC(C)(C)c2ncc(Cc3ccccc3)cc21,COCC1CNC(C)C[NH+]1CC(=O)N1CC(C)(C)c2ncc(Cc3ccccc3)cc21
6181,CNC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1C(=O)c1occc1CNc1ccc2nccnc2c1,CNC(=O)C1Cc2c([nH]c3ccccc23)CN1C(=O)c1occc1CNc1ccc2nccnc2c1
6182,O=C(NCCC[NH+]1CCCC1)c1cc(-c2ccccc2N2CC[NH+](CCc3ccc(Cl)c(Cl)c3)CC2)nc2n[nH]cc12,O=C(NCCCN1CCCC1)c1cc(-c2ccccc2N2CCN(CCc3ccc(Cl)c(Cl)c3)CC2)nc2n[nH]cc12
6183,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)(O)C(F)(F)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)N(C)Cc1ccccn1)C(C)C,CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(Cc1ccccc1)C(O)(O)C(F)(F)C(Cc1ccccc1)NC(=O)C(NC(=O)N(C)Cc1ccccn1)C(C)C
6184,Cc1nc2ccccc2n1Cc1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C,Cc1nc2ccccc2n1Cc1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C
6185,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CS)[C@@H](C)CC)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)O)[C@@H](C)O,CCC(C)C(NC(=O)C(N)CS)C(=O)NC(C(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCSC)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)O)C(C)O)C(C)CC
6186,O=S(=O)(c1cccs1)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1,O=S(=O)(c1cccs1)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1
6187,CC1=CC/C(=N\S(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc1c(C)ncn1CC(=O)NC(C)(C)C,CC1=CCC(=NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc1c(C)ncn1CC(=O)NC(C)(C)C
6188,CC1(C)[C@]2(C)CC[C@@]1(C(=O)O)OC2=O,CC12CCC(C(=O)O)(OC1=O)C2(C)C
6189,Cc1c(Oc2cnccn2)cc2c(c1C)[C@@H](CC(=O)O)OB2O,Cc1c(Oc2cnccn2)cc2c(c1C)C(CC(=O)O)OB2O
6192,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCCCNC(=O)OC(C)(C)C)cc1,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCCCNC(=O)OC(C)(C)C)cc1
6193,CCCCCCCCCCCCCC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CCCCCCCCCCCCCC(=O)CSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
6194,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H](C=O)[C@@H]2N[C@@H](C(=O)O)C(C)(C)S2)c2ccccc2)C(=O)C1=O,CCN1CCN(C(=O)NC(C(=O)NC(C=O)C2NC(C(=O)O)C(C)(C)S2)c2ccccc2)C(=O)C1=O
6195,CC(=O)NCCOc1cc(Br)ccc1C(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,CC(=O)NCCOc1cc(Br)ccc1C(=O)NCCCCC(NC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O
6196,Cc1nc2c(O)cccc2[nH]1,Cc1nc2c(O)cccc2[nH]1
6197,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)CC,CCC(C)C(NC(=O)C(C)NC(=O)C(NC(=O)C1CCCN1C(=O)C(N)CCC(=O)O)C(C)CC)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)O)C(C)O)C(C)O)C(C)CC)C(C)CC
