DrugBank ID,SMILES,Ro5,bRo5,eRo5
DB00137,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,False,True,False
DB00138,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,False,False,False
DB00139,OC(=O)CCC(O)=O,False,False,False
DB00140,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,False,False,False
DB00141,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,False,False,False
DB00142,N[C@@H](CCC(O)=O)C(O)=O,False,False,False
DB00143,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,False,False,False
DB00144,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,True,False,False
DB00145,NCC(O)=O,False,False,False
DB00146,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,False,False,False
DB00148,CN(CC(O)=O)C(N)=N,False,False,False
DB00150,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,True,False,False
DB00151,N[C@@H](CS)C(O)=O,False,False,False
DB00152,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,True,False,False
DB00153,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,False,False,False
DB00155,N[C@@H](CCCNC(N)=O)C(O)=O,False,False,False
DB00156,C[C@@H](O)[C@H](N)C(O)=O,False,False,False
DB00157,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,False,True,False
DB00158,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,False,False,False
DB00159,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,False,False,False
DB00161,CC(C)[C@H](N)C(O)=O,True,False,False
DB00162,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,False,False,False
DB00163,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,False,False,False
DB00165,CC1=C(O)C(CO)=C(CO)C=N1,True,False,False
DB00166,OC(=O)CCCC[C@@H]1CCSS1,True,False,False
DB00169,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,False,False,False
DB00170,CC1=CC(=O)C2=CC=CC=C2C1=O,True,False,False
DB00173,NC1=C2NC=NC2=NC=N1,False,False,False
DB00174,N[C@@H](CC(N)=O)C(O)=O,False,False,False
DB00175,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,True,False,False
DB00176,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,True,False,False
DB00177,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,True,False,False
DB00178,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,True,False,False
DB00179,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,True,False,False
DB00180,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,True,False,False
DB00181,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,True,False,False
DB00182,CC(N)CC1=CC=CC=C1,True,False,False
DB00183,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,False,True,False
DB00184,CN1CCC[C@H]1C1=CN=CC=C1,True,False,False
DB00185,CC1O[C@@]2(CS1)CN1CCC2CC1,True,False,False
DB00186,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,True,False,False
DB00187,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,True,False,False
DB00188,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,True,False,False
DB00189,CCC(O)(\C=C\Cl)C#C,True,False,False
DB00190,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,False,False,False
